Number,Player,Matchweek,Matchday,Injured,Minutes_Last_Game,Minutes_Prev_3_Games,Minutes_Last_30d,Days_Since_Last_Injury_Related,Days_Since_Last_Injury_Any,age,Pos,Days_Rest,Short_Rest_Flag_le3d,Matches_Last_10d,High_Minute_Flag_10d_3x85,Starts_Last_5,Consecutive_Starts,Rolling_Minutes_7d,Rolling_Minutes_28d,Minutes
3,Radu Dragusin,1,2024-08-17,0,0.0,0.0,0.0,,,,,,,0,,,,,,0.0
4,Kevin Danso,1,2024-08-17,0,0.0,0.0,0.0,,,27.0,DF,,,0,,,,,,0.0
6,João Palhinha,1,2024-08-17,0,0.0,0.0,14.0,,,30.0,MF,,,1,,,,,,0.0
7,Xavi Simons,1,2024-08-17,0,0.0,0.0,88.0,,,22.0,"FW,MF",,,1,,,,,,0.0
8,Yves Bissouma,1,2024-08-17,0,0.0,0.0,0.0,,,,,,,0,,,,,,0.0
9,Richarlison,1,2024-08-17,0,0.0,0.0,0.0,,,28.0,FW,,,0,,,,,,0.0
10,James Maddison,1,2024-08-17,0,0.0,0.0,0.0,,,,,,,0,,,,,,0.0
11,,1,2024-08-17,0,0.0,0.0,62.0,,,,,,,1,,,,,,0.0
13,Destiny Udogie,1,2024-08-17,0,0.0,0.0,0.0,,,22.0,DF,,,0,,,,,,0.0
14,,1,2024-08-17,0,0.0,0.0,0.0,,,,,,,0,,,,,,0.0
15,Lucas Bergvall,1,2024-08-17,0,0.0,0.0,0.0,,,19.0,MF,,,0,,,,,,0.0
17,Cristian Romero,1,2024-08-17,0,0.0,0.0,0.0,,,27.0,DF,,,0,,,,,,0.0
19,Dominic Solanke,1,2024-08-17,0,0.0,0.0,0.0,,,,,,,0,,,,,,0.0
20,,1,2024-08-17,0,0.0,0.0,90.0,,,,,,0.0,1,0.0,0.0,1.0,0.0,0.0,90.0
21,Dejan Kulusevski,1,2024-08-17,0,0.0,0.0,0.0,,,,,,,0,,,,,,0.0
22,Brennan Johnson,1,2024-08-17,0,0.0,0.0,0.0,,,24.0,FW,,,0,,,,,,0.0
23,,1,2024-08-17,0,0.0,0.0,0.0,,,,,,,0,,,,,,0.0
24,Djed Spence,1,2024-08-17,0,0.0,0.0,0.0,,,25.0,DF,,,0,,,,,,0.0
28,Wilson Odobert,1,2024-08-17,0,0.0,0.0,89.0,,,20.0,"FW,MF",,,1,,,,,,0.0
29,Pape Matar Sarr,1,2024-08-17,0,0.0,0.0,0.0,,,23.0,MF,,,0,,,,,,0.0
30,Rodrigo Bentancur,1,2024-08-17,0,0.0,0.0,0.0,,,28.0,MF,,,0,,,,,,0.0
37,Micky van de Ven,1,2024-08-17,0,0.0,0.0,0.0,,,24.0,DF,,,0,,,,,,0.0
3,Radu Dragusin,2,2024-08-24,0,0.0,0.0,0.0,,,,,,,0,,,,,,0.0
4,Kevin Danso,2,2024-08-24,0,0.0,0.0,180.0,,,27.0,DF,,,2,,,,,,0.0
6,João Palhinha,2,2024-08-24,0,0.0,0.0,14.0,,,30.0,MF,,,1,,,,,,0.0
7,Xavi Simons,2,2024-08-24,0,0.0,0.0,178.0,,,22.0,"FW,MF",,,2,,,,,,0.0
8,Yves Bissouma,2,2024-08-24,0,0.0,0.0,72.0,,,,,,0.0,1,0.0,0.0,1.0,0.0,0.0,72.0
9,Richarlison,2,2024-08-24,0,0.0,0.0,25.0,,,28.0,FW,5.0,0.0,2,0.0,0.0,0.0,1.0,1.0,24.0
10,James Maddison,2,2024-08-24,0,0.0,0.0,156.0,,,,,5.0,0.0,2,0.0,1.0,2.0,78.0,78.0,78.0
11,,2,2024-08-24,0,0.0,0.0,62.0,,,,,,,1,,,,,,0.0
13,Destiny Udogie,2,2024-08-24,0,0.0,0.0,162.0,,,22.0,DF,5.0,0.0,2,0.0,1.0,2.0,90.0,90.0,72.0
14,,2,2024-08-24,0,0.0,0.0,31.0,,,,,5.0,0.0,2,0.0,0.0,0.0,13.0,13.0,18.0
15,Lucas Bergvall,2,2024-08-24,0,0.0,0.0,25.0,,,19.0,MF,5.0,0.0,2,0.0,0.0,0.0,13.0,13.0,12.0
17,Cristian Romero,2,2024-08-24,0,0.0,0.0,180.0,,,27.0,DF,5.0,0.0,2,0.0,4.0,5.0,90.0,90.0,90.0
19,Dominic Solanke,2,2024-08-24,1,0.0,0.0,90.0,,0.0,,,,,1,,,,,,0.0
20,,2,2024-08-24,0,90.0,90.0,178.0,,,,,7.0,0.0,2,0.0,1.0,2.0,90.0,90.0,88.0
21,Dejan Kulusevski,2,2024-08-24,0,0.0,0.0,78.0,,,,,5.0,0.0,2,0.0,0.0,1.0,12.0,12.0,66.0
22,Brennan Johnson,2,2024-08-24,0,0.0,0.0,167.0,,,24.0,FW,5.0,0.0,2,0.0,1.0,2.0,77.0,77.0,90.0
23,,2,2024-08-24,0,0.0,0.0,179.0,,,,,5.0,0.0,2,0.0,1.0,2.0,89.0,89.0,90.0
24,Djed Spence,2,2024-08-24,0,0.0,0.0,19.0,,,25.0,DF,5.0,0.0,2,0.0,0.0,0.0,1.0,1.0,18.0
28,Wilson Odobert,2,2024-08-24,0,0.0,0.0,155.0,,,20.0,"FW,MF",12.0,0.0,1,0.0,1.0,2.0,0.0,89.0,66.0
29,Pape Matar Sarr,2,2024-08-24,0,0.0,0.0,0.0,,,23.0,MF,,,0,,,,,,0.0
30,Rodrigo Bentancur,2,2024-08-24,1,0.0,0.0,77.0,,0.0,28.0,MF,,,1,,,,,,0.0
37,Micky van de Ven,2,2024-08-24,0,0.0,0.0,180.0,,,24.0,DF,5.0,0.0,2,0.0,1.0,2.0,90.0,90.0,90.0
3,Radu Dragusin,3,2024-08-31,0,0.0,0.0,0.0,,,,,,,0,,,,,,0.0
